id,tx_line_length,voltage,state,region,owner,lon,lat
116142,199853.88991132448,765.0,Indiana,EM,NOT AVAILABLE,-87.18913310539928,38.51389285327381
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.97070464703708,46.66192955424824
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-94.9841750501333,48.70034018905231
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-95.08687611280014,48.76978848710628
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.22523527593313,47.89236867580689
119511,262295.9631857906,765.0,Indiana,EM,"DUKE ENERGY INDIANA, LLC",-85.91473938522451,40.457157381702906
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.88409454730257,47.16990345824443
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90942660892004,45.63038185194697
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.20433534202738,47.757768448182134
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90846199796795,45.798605072269794
149013,59016.4686467653,765.0,Illinois,EM,COMED,-88.01000822213602,41.39415338878379
105541,74288.42581668557,765.0,Illinois,EM,NOT AVAILABLE,-88.37398006310717,41.41403199085225
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-94.55681655557869,48.380055777297095
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.991799605191,46.84681403480462
163166,156613.38034532114,765.0,Indiana,EM,NOT AVAILABLE,-85.3630428192202,40.94568907994651
145385,228723.00395046137,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-83.40195448199982,40.01366445091542
145385,228723.00395046137,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.61847653506987,39.31130779612798
144740,31789.987865396273,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.15241831983472,38.97507972796896
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.95901657704388,46.50715586496202
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.97207960841095,46.071471281704255
149013,59016.4686467653,765.0,Illinois,EM,COMED,-88.29679586257973,41.40016474786211
105541,74288.42581668557,765.0,Illinois,EM,NOT AVAILABLE,-88.37468317358173,41.48180935604207
163166,156613.38034532114,765.0,Indiana,EM,NOT AVAILABLE,-85.69788189667538,41.075497403124146
149013,59016.4686467653,765.0,Illinois,EM,COMED,-88.20529235293004,41.40609819175029
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.71637855740512,48.05585078370034
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.93957281221368,47.07779375280428
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-94.3291009074082,48.22141507522995
200071,55478.60588498377,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-121.86669219313141,47.50492511980133
200090,228485.51952710692,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-119.027796514145,47.88527584411805
200095,92888.26686301196,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-118.5944990757873,46.56136372998056
200041,202425.34273857536,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-120.8920889594401,45.31245173228688
200094,33923.527808596366,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-119.24321386944469,45.835129626260255
200074,210754.0759420903,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-122.1696185752025,48.48397332486439
200033,291156.0507088918,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-121.0324692961506,45.363748995044354
200047,43714.28443592435,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-120.7405361677432,45.67743783172493
200110,524355.087552368,500.0,Montana,NW,BONNEVILLE POWER ADMINISTRATION,-112.31221128758041,46.30079740213403
